wavenumber_cm-1,raw_trace,finite,interp_trace,smooth_17,smooth_1,smooth_7,smooth_11,smooth_25,smooth_33
2758.1,-1.5,True,-1.5,-1.7026041176470588,-1.5,-4.077538571428571,-2.7709336363636368,-1.8377792,-1.6814666666666571
2758.8,-1.0,True,-1.0,-2.3076276470588235,-1.0,-4.053728571428571,-2.9527427272727276,-1.6897792,-1.6170727272727274
2759.7,-10.501,True,-10.501,-2.7488688235294116,-10.501,-4.134085714285714,-3.089106363636364,-1.7712067999999999,-1.5867696969696972
2760.5,-6.0004,True,-6.0004,-2.9841629411764705,-6.0004,-3.276971428571428,-2.5284909090909093,-1.8245399999999998,-1.6019242424242426
2761.3,0.0,True,0.0,-2.484133529411765,0.0,-3.276971428571428,-3.3125545454545455,-1.8845399999999999,-1.715557878787879
2762.1,-0.9375,True,-0.9375,-2.5017805882352944,-0.9375,-2.2769571428571425,-3.4490363636363632,-1.8959679999999999,-1.6170730303030305
2762.9,-2.9999,True,-2.9999,-2.5676058823529413,-2.9999,-2.0624857142857143,-3.5172181818181816,-1.8259720000000002,-1.7079818181818183
2763.7,-1.5,True,-1.5,-2.5945664705882354,-1.5,-2.705428571428571,-2.744445454545455,-2.035972,-1.743335454545455
2764.5,6.0001,True,6.0001,-2.1534076470588235,6.0001,-3.0268571428571427,-1.8170818181818182,-2.115968,-1.8569718181818182
2765.3,-8.9997,True,-8.9997,-2.006348823529412,-8.9997,-1.8214285714285716,-1.3884727272727273,-2.145968,-1.8788869696969699
2766.1,-10.501,True,-10.501,-2.0210547058823525,-10.501,-1.4357285714285715,-1.4642300000000001,-2.2293011999999996,-1.6061506060606063
2766.9,-2.25,True,-2.25,-1.609231176470588,-2.25,-1.405114285714286,-1.515366363636364,-2.240968,-1.825847575757576
2767.7,7.5005,True,7.5005,-1.4327311764705883,7.5005,-2.381318571428571,-1.1517390909090912,-2.0309800000000005,-1.8750900000000004
2768.5,-0.3,True,-0.3,-1.476848823529412,-0.3,-1.309932857142857,-1.1290118181818183,-1.9484800000000002,-1.9385926737967865
2769.3,-1.2857,True,-1.2857,-1.554054705882353,-1.2857,0.3330671428571428,-1.9926572727272729,-1.6684640000000004,-1.9789966131907255
2770.1,-0.83333,True,-0.83333,-1.4168058823529412,-0.83333,0.4759242857142854,-1.447220909090909,-1.4684240000000002,-1.9130875222816348
2770.9,-1.5,True,-1.5,-1.5491588235294118,-1.5,-1.095575714285714,-0.5607663636363637,-1.3334080000000001,-1.7085511586452713
2771.7,1.0,True,1.0,-1.8690176470588236,1.0,-1.4812757142857143,-0.5607663636363636,-1.4172315294117577,-1.640369340463453
